src,dst,relation,weight,notes
MCR-1.106@2025-05-01,MCR-3.603@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.981-3@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.110@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.922@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.970@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.981@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.303@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.431@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.306@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.113@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.120@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.983@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.716-3@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.601@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-5.743@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.718@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.973@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.931@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.201@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.103@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.501@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-1.108@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.411@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.101@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-5.784@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.505-6@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-9.124@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.403@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.986@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.115@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.104@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.310@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.925@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-9.104@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.004@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.963@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.318@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.309@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.433@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.419@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.202@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.101-7@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.951-3@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.203@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.962@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-5.131@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.009@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-5.307@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.108@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.978@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.504@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.109@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.106@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.123@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.615@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.306@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.401-6@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.312@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.920@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.404@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.408@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.956@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-5.404@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.518@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.102@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.941@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.316@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.508@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-9.211@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.937@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.307@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-8.112@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.005@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-5.105@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-9.112@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-8.108@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-9.128@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.103@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-9.241@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.211@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.722@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-5.304@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-9.313@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.612@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.206@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.604@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.403@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.207@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.113@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-1.101@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-5.204@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.306@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.203@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-9.118@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-6.112@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.979@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-1.201@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-7.207@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-2.313@2025-05-01,cross_refs,1,auto-cite
MCR-1.106@2025-05-01,MCR-3.002@2025-05-01,cross_refs,1,auto-cite
